service_id,date,exception_type
22528,20260110,1
22528,20260111,1
22528,20260117,1
22528,20260118,1
22528,20260124,1
22528,20260125,1
22528,20260221,1
22528,20260222,1
22528,20260228,1
22528,20260131,1
22528,20260201,1
22528,20260207,1
22528,20260208,1
22528,20260214,1
22528,20260215,1
22529,20260112,1
22529,20260113,1
22529,20260114,1
22529,20260115,1
22529,20260116,1
22529,20260119,1
22529,20260223,1
22529,20260224,1
22529,20260225,1
22529,20260226,1
22529,20260227,1
22529,20260213,1
22529,20260216,1
22529,20260217,1
22529,20260218,1
22529,20260219,1
22529,20260220,1
22529,20260205,1
22529,20260206,1
22529,20260209,1
22529,20260210,1
22529,20260211,1
22529,20260212,1
22529,20260128,1
22529,20260129,1
22529,20260130,1
22529,20260202,1
22529,20260203,1
22529,20260204,1
22529,20260120,1
22529,20260121,1
22529,20260122,1
22529,20260123,1
22529,20260126,1
22529,20260127,1
22757,20260109,1
