table_name,field_name,language,translation,record_id
routes,route_long_name,el,Άγ. Τύχωνας - Μουτταγιάκα - Λεοντίου Σταθμός ΕΜΕΛ,10260011
routes,route_long_name,el,Λεοντίου Σταθμός ΕΜΕΛ - Μουτταγιάκα - Άγ. Τύχωνας,10260012
routes,route_long_name,el,Άγ. Τύχωνας - Αρμενοχώρι - Μουτταγιάκα - Λεοντίου Σταθμός ΕΜΕΛ,10260021
routes,route_long_name,el,Λεοντίου Σταθμός ΕΜΕΛ - Μουτταγιάκα - Αρμενοχώρι - Άγ. Τύχωνας,10260022
routes,route_long_name,el,Ερήμη- Συνοικισμός Κολοσσίου - Λεοντίου Σταθμός ΕΜΕΛ,10270011
routes,route_long_name,el,Λεοντίου Σταθμός ΕΜΕΛ - Συνοικισμός Κολοσσίου - Ερήμη,10270012
routes,route_long_name,el,Ερήμη - Συνοικισμός Κολοσσίου - Ύψωνας - Λεοντίου Σταθμός ΕΜΕΛ,10270021
routes,route_long_name,el,Λεοντίου Σταθμός ΕΜΕΛ - Ύψωνας - Συνοικισμός Κολοσσίου - Ερήμη,10270022
routes,route_long_name,el,My Mall - Νέο Λιμάνι - Parklane Ηotel,10300011
routes,route_long_name,el,Parklane Ηotel - Νέο Λιμάνι - My Mall,10300012
routes,route_long_name,el,Δημοτική Πινακοθήκη - Parklane Ηotel,10300021
routes,route_long_name,el,Παλιό Λιμάνι - Parklane Ηotel,10300031
routes,route_long_name,el,Κέντρο Πόλης,10320011
routes,route_long_name,el,Μαρίνα Λεμεσού - My Mall - Υδροπάρκο - Κολόσσι (Κάστρο) - Παραλία Κουρίου - Επισκοπή (Βάσεις),10330011
routes,route_long_name,el,Επισκοπή (Βάσεις) - Παραλία Κουρίου - Κολόσσι (Κάστρο) - Υδροπάρκο - My Mall - Μαρίνα Λεμεσού,10330012
routes,route_long_name,el,Νέο Λιμάνι - Παλαιό Λιμάνι,10350011
routes,route_long_name,el,Παλαιό Λιμάνι - Νέο Λιμάνι,10350012
routes,route_long_name,el,Όμοδος - Πάχνα - Άγ. Αμβρόσιος - Καντού - Λεμεσός,10400011
routes,route_long_name,el,Λεμεσός - Καντού - Άγ. Αμβρόσιος - Πάχνα - Όμοδος,10400012
routes,route_long_name,el,Όμοδος- Πάχνα- Αγ. Αμβρόσιος- Καντού- Ύψωνας- Λεμεσός,10400021
routes,route_long_name,el,Λεμεσός- Ύψωνας- Καντού- Άγ. Αμβρόσιος- Πάχνα- Όμοδος,10400022
routes,route_long_name,el,Όμοδος-Πάχνα-Άγ. Αμβρόσιος-Καντού-Ν. Νοσοκομείο-Λεμεσός,10400031
