service_id,date,exception_type
22358,20260112,1
22358,20260113,1
22358,20260114,1
22358,20260115,1
22358,20260116,1
22358,20260119,1
22358,20260327,1
22358,20260319,1
22358,20260320,1
22358,20260323,1
22358,20260324,1
22358,20260325,1
22358,20260326,1
22358,20260311,1
22358,20260312,1
22358,20260313,1
22358,20260316,1
22358,20260317,1
22358,20260318,1
22358,20260303,1
22358,20260304,1
22358,20260305,1
22358,20260306,1
22358,20260309,1
22358,20260310,1
22358,20260223,1
22358,20260224,1
22358,20260225,1
22358,20260226,1
22358,20260227,1
22358,20260302,1
22358,20260213,1
22358,20260216,1
22358,20260217,1
22358,20260218,1
22358,20260219,1
22358,20260220,1
22358,20260205,1
22358,20260206,1
22358,20260209,1
22358,20260210,1
22358,20260211,1
22358,20260212,1
22358,20260128,1
22358,20260129,1
22358,20260130,1
22358,20260202,1
22358,20260203,1
22358,20260204,1
22358,20260120,1
22358,20260121,1
22358,20260122,1
22358,20260123,1
22358,20260126,1
22358,20260127,1
22359,20260110,1
22359,20260117,1
22359,20260124,1
22359,20260131,1
22359,20260207,1
22359,20260214,1
22359,20260221,1
22359,20260228,1
22359,20260307,1
22359,20260314,1
22359,20260321,1
22359,20260328,1
22360,20260111,1
22360,20260118,1
22360,20260125,1
22360,20260201,1
22360,20260208,1
22360,20260329,1
22360,20260215,1
22360,20260222,1
22360,20260301,1
22360,20260308,1
22360,20260315,1
22360,20260322,1
22756,20260109,1
