service_id,date,exception_type
22338,20260109,1
22338,20260112,1
22338,20260113,1
22338,20260114,1
22338,20260115,1
22338,20260116,1
22338,20260403,1
22338,20260406,1
22338,20260407,1
22338,20260408,1
22338,20260409,1
22338,20260326,1
22338,20260327,1
22338,20260330,1
22338,20260331,1
22338,20260401,1
22338,20260402,1
22338,20260318,1
22338,20260319,1
22338,20260320,1
22338,20260323,1
22338,20260324,1
22338,20260325,1
22338,20260310,1
22338,20260311,1
22338,20260312,1
22338,20260313,1
22338,20260316,1
22338,20260317,1
22338,20260302,1
22338,20260303,1
22338,20260304,1
22338,20260305,1
22338,20260306,1
22338,20260309,1
22338,20260220,1
22338,20260223,1
22338,20260224,1
22338,20260225,1
22338,20260226,1
22338,20260227,1
22338,20260212,1
22338,20260213,1
22338,20260216,1
22338,20260217,1
22338,20260218,1
22338,20260219,1
22338,20260204,1
22338,20260205,1
22338,20260206,1
22338,20260209,1
22338,20260210,1
22338,20260211,1
22338,20260127,1
22338,20260128,1
22338,20260129,1
22338,20260130,1
22338,20260202,1
22338,20260203,1
22338,20260119,1
22338,20260120,1
22338,20260121,1
22338,20260122,1
22338,20260123,1
22338,20260126,1
